t,cons_share,govt_share,inv_share,other_share
1955/1/1,0.546848129,0.291704132,0.120679872,0.040767868
1955/4/1,0.565355023,0.297245189,0.127042344,0.010357444
1955/7/1,0.544228052,0.281174989,0.124751026,0.049845934
1955/10/1,0.544298373,0.279502254,0.128361586,0.047837787
1956/1/1,0.543463054,0.27755788,0.129519049,0.049460017
1956/4/1,0.544360774,0.279086086,0.132611672,0.043941468
1956/7/1,0.547174996,0.282989868,0.134750129,0.035085008
1956/10/1,0.545372299,0.279659281,0.136313202,0.038655218
1957/1/1,0.533546246,0.275620075,0.135230195,0.055603484
1957/4/1,0.543709253,0.26904319,0.137303702,0.049943855
1957/7/1,0.550331404,0.269074587,0.137159158,0.043434852
1957/10/1,0.556001281,0.267634715,0.140808037,0.035555968
1958/1/1,0.549615225,0.259536616,0.143086471,0.047761688
1958/4/1,0.560210263,0.264356469,0.146484078,0.028949189
1958/7/1,0.549060304,0.256831182,0.143422128,0.050686387
1958/10/1,0.562284916,0.259775779,0.145086444,0.03285286
1959/1/1,0.561068702,0.259050552,0.143424631,0.036456115
1959/4/1,0.558678308,0.256135914,0.149438625,0.035747153
1959/7/1,0.552127107,0.253372051,0.148346633,0.046154209
1959/10/1,0.548086811,0.245267496,0.155424192,0.0512215
1960/1/1,0.543314255,0.241550941,0.157161086,0.057973718
1960/4/1,0.544211513,0.243922745,0.162527658,0.049338084
1960/7/1,0.539913668,0.241499867,0.163136032,0.055450433
1960/10/1,0.533471581,0.241004147,0.166262632,0.059261639
1961/1/1,0.534768474,0.239984464,0.167937339,0.057309723
1961/4/1,0.536747623,0.243480959,0.171284471,0.048486947
1961/7/1,0.541008288,0.246795266,0.174268032,0.037928414
1961/10/1,0.54574975,0.248805085,0.17143295,0.034012216
1962/1/1,0.546719177,0.251165894,0.171761788,0.030353141
1962/4/1,0.544861999,0.24777698,0.172105454,0.035255567
1962/7/1,0.541476735,0.248085279,0.171389764,0.039048222
1962/10/1,0.547504655,0.249562906,0.16729684,0.035635599
1963/1/1,0.550629852,0.253789064,0.154598061,0.040983024
1963/4/1,0.544850929,0.240983752,0.16831467,0.045850649
1963/7/1,0.549213777,0.240362642,0.171255237,0.039168344
1963/10/1,0.534292652,0.239040151,0.17370565,0.052961548
1964/1/1,0.533163315,0.235740329,0.179353888,0.051742468
1964/4/1,0.527818707,0.232374837,0.181678967,0.058127489
1964/7/1,0.531099462,0.235471032,0.184600325,0.048829182
1964/10/1,0.525677756,0.230203706,0.184344709,0.059773829
1965/1/1,0.531921018,0.226904355,0.190298006,0.050876621
1965/4/1,0.524775673,0.240594743,0.185882457,0.048747127
1965/7/1,0.525045905,0.236596539,0.18547068,0.052886875
1965/10/1,0.523479691,0.234821823,0.188323378,0.053375108
1966/1/1,0.529313826,0.23242941,0.184139409,0.054117355
1966/4/1,0.532759315,0.237333911,0.181782141,0.048124632
1966/7/1,0.520964541,0.239416049,0.183603042,0.056016367
1966/10/1,0.523969206,0.241117695,0.185319713,0.049593385
1967/1/1,0.515527838,0.242311547,0.187915816,0.054244799
1967/4/1,0.518711062,0.242047574,0.195319386,0.043921978
1967/7/1,0.524231924,0.239512751,0.194146127,0.042109198
1967/10/1,0.52857779,0.245281563,0.193641464,0.032499184
1968/1/1,0.52225256,0.235227531,0.199783845,0.042736064
1968/4/1,0.506746635,0.235561167,0.199552329,0.058139869
1968/7/1,0.502308759,0.230557233,0.199805461,0.067328548
1968/10/1,0.500397711,0.22756273,0.208912053,0.063127507
1969/1/1,0.505119972,0.229788622,0.194986307,0.070105099
1969/4/1,0.504677216,0.224010824,0.194093344,0.077218615
1969/7/1,0.501561265,0.222114146,0.199554556,0.076770033
1969/10/1,0.500912934,0.222328229,0.198942861,0.077815977
1970/1/1,0.50827393,0.223099326,0.195234793,0.073391951
1970/4/1,0.501459862,0.223757501,0.197490761,0.077291875
1970/7/1,0.504966047,0.220450818,0.198150354,0.076432781
1970/10/1,0.495585006,0.219022646,0.201194181,0.084198167
1971/1/1,0.500949637,0.223212761,0.200026675,0.075810926
1971/4/1,0.497419315,0.2209647,0.203729038,0.077886947
1971/7/1,0.496809263,0.218724417,0.204542797,0.079923524
1971/10/1,0.497368873,0.216782652,0.206116739,0.079731736
1972/1/1,0.502962532,0.220633279,0.203058939,0.07334525
1972/4/1,0.503658033,0.217952878,0.205375932,0.073013157
1972/7/1,0.514621909,0.222386612,0.206161489,0.05682999
1972/10/1,0.503524441,0.21767022,0.199452607,0.079352732
1973/1/1,0.497564516,0.209127471,0.199458579,0.093849434
1973/4/1,0.492089615,0.209743413,0.192099616,0.106067356
1973/7/1,0.499990831,0.213489327,0.189828908,0.096690934
1973/10/1,0.498502608,0.214965629,0.189896979,0.096634784
1974/1/1,0.497539299,0.215633297,0.191279143,0.095548261
1974/4/1,0.494337858,0.217068835,0.178790348,0.109802959
1974/7/1,0.494142344,0.217425381,0.175023834,0.113408441
1974/10/1,0.502639253,0.223743507,0.178348363,0.095268878
1975/1/1,0.508617677,0.236299074,0.176272819,0.07881043
1975/4/1,0.517007976,0.236487749,0.178098728,0.068405547
1975/7/1,0.51133371,0.237074208,0.175339724,0.076252358
1975/10/1,0.503588773,0.240288434,0.169155104,0.086967689
1976/1/1,0.49828884,0.23626163,0.174557015,0.090892515
1976/4/1,0.497196088,0.236131065,0.171488159,0.095184687
1976/7/1,0.494482163,0.231698909,0.166909418,0.106909509
1976/10/1,0.487921011,0.22629726,0.165504404,0.120277324
1977/1/1,0.483891081,0.226730929,0.16327831,0.12609968
1977/4/1,0.480900749,0.227293314,0.171440347,0.12036559
1977/7/1,0.485319415,0.226057982,0.169073924,0.119548679
1977/10/1,0.487364573,0.221916214,0.172498345,0.118220868
1978/1/1,0.491687448,0.220934506,0.175902349,0.111475697
1978/4/1,0.486123402,0.219431576,0.174661218,0.119783804
1978/7/1,0.493170728,0.219724419,0.173133031,0.113971822
1978/10/1,0.489584408,0.220636805,0.173594626,0.116184161
1979/1/1,0.497545852,0.219310262,0.182229646,0.10091424
1979/4/1,0.494879,0.210666559,0.175529183,0.118925257
1979/7/1,0.481777701,0.211856818,0.181647894,0.124717587
1979/10/1,0.486746317,0.212271838,0.183606705,0.11737514
1980/1/1,0.499473304,0.215342353,0.176267686,0.108916658
1980/4/1,0.498573098,0.2188368,0.173603584,0.108986519
1980/7/1,0.507970367,0.223510878,0.171426747,0.097092008
1980/10/1,0.507233187,0.228302606,0.171966959,0.092497248
1981/1/1,0.518285284,0.226433967,0.163056289,0.09222446
1981/4/1,0.513620254,0.226482534,0.165400502,0.09449671
1981/7/1,0.50277506,0.221857181,0.163142312,0.112225446
1981/10/1,0.504194161,0.21880036,0.162054079,0.1149514
1982/1/1,0.503707081,0.220959788,0.161093378,0.114239753
1982/4/1,0.497338273,0.218662128,0.1663788,0.1176208
1982/7/1,0.507954531,0.219974106,0.172016475,0.100054888
1982/10/1,0.508700771,0.219834346,0.172721638,0.098743245
1983/1/1,0.505574694,0.21453004,0.17404937,0.105845896
1983/4/1,0.502974489,0.215805447,0.169944374,0.11127569
1983/7/1,0.506070277,0.212557326,0.169856202,0.111516195
1983/10/1,0.499642211,0.211276244,0.175465912,0.113615633
1984/1/1,0.498907547,0.211155503,0.177843498,0.112093452
1984/4/1,0.502437884,0.208878496,0.178294846,0.110388775
1984/7/1,0.496417553,0.209024437,0.177353364,0.117204647
1984/10/1,0.493935786,0.204837765,0.174480791,0.126745658
1985/1/1,0.501059541,0.205487107,0.186167839,0.107285513
1985/4/1,0.498037442,0.196378071,0.168939329,0.136645157
1985/7/1,0.506621212,0.19960295,0.170909794,0.122866044
1985/10/1,0.509157779,0.198435154,0.168912613,0.123494454
1986/1/1,0.513843097,0.200579343,0.164788896,0.120788664
1986/4/1,0.515882712,0.196827051,0.158187502,0.129102735
1986/7/1,0.517202421,0.19415157,0.16627875,0.122367259
1986/10/1,0.511054308,0.190975128,0.171499996,0.126470568
1987/1/1,0.512989557,0.189695092,0.166199173,0.131116179
1987/4/1,0.511599863,0.188708462,0.170568688,0.129122987
1987/7/1,0.508097105,0.182900299,0.181307863,0.127694732
1987/10/1,0.509750907,0.180045589,0.18334797,0.126855534
1988/1/1,0.511617529,0.177640663,0.189136924,0.121604884
1988/4/1,0.511263742,0.175177937,0.191686384,0.121871937
1988/7/1,0.514749448,0.170723288,0.190060755,0.124466509
1988/10/1,0.508837648,0.170112008,0.186526325,0.134524019
1989/1/1,0.512223369,0.167805921,0.195215437,0.124755272
1989/4/1,0.514883812,0.168400663,0.191093581,0.125621944
1989/7/1,0.512880698,0.170149417,0.1922454,0.124724485
1989/10/1,0.513827008,0.169778328,0.188875529,0.127519134
1990/1/1,0.510554843,0.16949649,0.188157319,0.131791349
1990/4/1,0.513280726,0.16956128,0.184798992,0.132359002
1990/7/1,0.516233806,0.172976938,0.185262639,0.125526617
1990/10/1,0.519304617,0.175569737,0.184269677,0.120855969
1991/1/1,0.522720399,0.177331449,0.177285156,0.122662996
1991/4/1,0.519667561,0.182115965,0.174700302,0.123516173
1991/7/1,0.520698359,0.180833743,0.171599114,0.126868784
1991/10/1,0.519904716,0.179824143,0.17156988,0.128701262
1992/1/1,0.516049867,0.179904535,0.171483877,0.132561721
1992/4/1,0.519205342,0.179489523,0.169286685,0.13201845
1992/7/1,0.52006133,0.178841103,0.169356185,0.131741381
1992/10/1,0.517112889,0.178252985,0.163947562,0.140686564
1993/1/1,0.517154394,0.175244113,0.166633291,0.140968202
1993/4/1,0.517542657,0.17320579,0.165255702,0.143995851
1993/7/1,0.521117038,0.173385098,0.16373227,0.141765594
1993/10/1,0.520588442,0.171884513,0.165875404,0.141651641
1994/1/1,0.518169571,0.169161491,0.165391128,0.14727781
1994/4/1,0.513228057,0.16982354,0.160268755,0.156679648
1994/7/1,0.513461968,0.168269652,0.160026938,0.158241441
1994/10/1,0.510175329,0.165659384,0.158955967,0.165209321
1995/1/1,0.511016788,0.167427216,0.156910937,0.164645058
1995/4/1,0.509094987,0.166431758,0.155646258,0.168826997
1995/7/1,0.50555054,0.16400766,0.154887156,0.175554644
1995/10/1,0.508929253,0.164072633,0.15506436,0.171933754
1996/1/1,0.506364019,0.162390457,0.156620592,0.174624932
1996/4/1,0.508435986,0.160455898,0.160928346,0.17017977
1996/7/1,0.509562376,0.159920254,0.158106404,0.172410967
1996/10/1,0.508484187,0.158445515,0.151340956,0.181729342
1997/1/1,0.506995075,0.155531623,0.142982585,0.194490717
1997/4/1,0.50527568,0.150821028,0.146260608,0.197642684
1997/7/1,0.509954675,0.150617464,0.148651948,0.190775913
1997/10/1,0.49980297,0.152248749,0.149988476,0.197959806
1998/1/1,0.502214471,0.151397094,0.149051204,0.197337231
1998/4/1,0.502133205,0.15077805,0.149826723,0.197262023
1998/7/1,0.508765313,0.150832046,0.149250881,0.19115176
1998/10/1,0.501267795,0.150323939,0.152283585,0.196124681
1999/1/1,0.507968595,0.147091374,0.149973102,0.194966929
1999/4/1,0.513086964,0.153283498,0.14918784,0.184441698
1999/7/1,0.506454768,0.150983534,0.149582284,0.192979414
1999/10/1,0.503262761,0.14923725,0.142911674,0.204588315
2000/1/1,0.509056175,0.145959864,0.147266477,0.197717483
2000/4/1,0.504523518,0.149365062,0.153784054,0.192327366
2000/7/1,0.508144571,0.149021389,0.139486714,0.203347327
2000/10/1,0.507581261,0.147892192,0.141938231,0.202588316
2001/1/1,0.504806889,0.149839481,0.138267784,0.207085847
2001/4/1,0.505127244,0.146301967,0.141687232,0.206883557
2001/7/1,0.512490059,0.14946158,0.138265449,0.199782912
2001/10/1,0.517053227,0.152685591,0.132294299,0.197966883
2002/1/1,0.513586409,0.149922288,0.132844654,0.203646649
2002/4/1,0.512259011,0.151285064,0.13724281,0.199213115
2002/7/1,0.514028999,0.152188207,0.135855723,0.197927071
2002/10/1,0.514260979,0.15207085,0.143046802,0.190621369
2003/1/1,0.512201616,0.151072698,0.140979611,0.195746075
2003/4/1,0.518500995,0.153324551,0.133930319,0.194244135
2003/7/1,0.518788692,0.153661702,0.132487273,0.195062332
2003/10/1,0.512190593,0.153748018,0.131367319,0.202694069
2004/1/1,0.51518599,0.152572694,0.13574967,0.196491646
2004/4/1,0.515198971,0.153475076,0.135125351,0.196200602
2004/7/1,0.514825593,0.153351223,0.13179543,0.200027753
2004/10/1,0.514162272,0.153747958,0.131082502,0.201007267
2005/1/1,0.517844555,0.152714392,0.132472087,0.196968965
2005/4/1,0.512846563,0.152278769,0.14027725,0.194597417
2005/7/1,0.508386287,0.150481845,0.134800276,0.206331591
2005/10/1,0.504638678,0.148966042,0.131976029,0.214419251
2006/1/1,0.492344627,0.146674128,0.130852542,0.230128703
2006/4/1,0.491487634,0.145557271,0.128159447,0.234795648
2006/7/1,0.508449192,0.150664868,0.135469721,0.205416219
2006/10/1,0.505647705,0.150120043,0.137410424,0.206821828
2007/1/1,0.504261277,0.149233078,0.137284546,0.209221099
2007/4/1,0.505902508,0.148559472,0.13984278,0.205695241
2007/7/1,0.505956995,0.147411009,0.133427103,0.213204893
2007/10/1,0.504796623,0.145517291,0.140474167,0.209211919
2008/1/1,0.503775881,0.146929562,0.132870093,0.216424465
2008/4/1,0.502798496,0.148471863,0.136079411,0.21265023
2008/7/1,0.506181156,0.153803781,0.128878687,0.211136376
2008/10/1,0.511786548,0.158475743,0.128465022,0.201272687
2009/1/1,0.520527893,0.161413501,0.125969383,0.192089223
2009/4/1,0.516097524,0.162726152,0.118284256,0.202892068
2009/7/1,0.51766841,0.163110616,0.119391404,0.199829569
2009/10/1,0.51658281,0.162416576,0.116577146,0.204423467
2010/1/1,0.50876216,0.159552685,0.120963931,0.210721223
2010/4/1,0.509106289,0.158206188,0.119590573,0.213096951
2010/7/1,0.504676248,0.156595779,0.12253015,0.216197822
2010/10/1,0.498591483,0.156329036,0.12321521,0.221864272
2011/1/1,0.498691631,0.157569691,0.122166878,0.221571799
2011/4/1,0.493919942,0.156393151,0.120837376,0.228849531
2011/7/1,0.490724334,0.155052059,0.122726424,0.231497183
2011/10/1,0.492221203,0.154692569,0.124664894,0.228421334
2012/1/1,0.494931091,0.158634968,0.124728821,0.221705119
2012/4/1,0.494128351,0.154795912,0.121801129,0.229274609
2012/7/1,0.49099244,0.154449587,0.119485435,0.235072538
2012/10/1,0.495523356,0.155163015,0.125814543,0.223499086
2013/1/1,0.498406603,0.155514077,0.12017466,0.22590466
2013/4/1,0.490275464,0.152352225,0.122996655,0.234375656
2013/7/1,0.490860997,0.151609949,0.127163963,0.230365091
2013/10/1,0.488065049,0.15133501,0.126633578,0.233966363
2014/1/1,0.488442989,0.15280499,0.128637684,0.230114337
2014/4/1,0.486915449,0.152105779,0.129496219,0.231482553
2014/7/1,0.488498146,0.150962152,0.129692189,0.230847513
2014/10/1,0.480119192,0.148368997,0.127067182,0.244444629
2015/1/1,0.482274983,0.148165757,0.129935584,0.239623676
2015/4/1,0.48524033,0.149388348,0.131654967,0.233716355
2015/7/1,0.487864253,0.149473401,0.126877897,0.235784449
2015/10/1,0.48349015,0.147285139,0.125385424,0.243839288
2016/1/1,0.488094407,0.148102036,0.126321514,0.237482043
2016/4/1,0.490476706,0.147759315,0.128164938,0.233599041
2016/7/1,0.489015267,0.146271406,0.128105025,0.236608301
2016/10/1,0.490049529,0.145954104,0.12835053,0.235645837
2017/1/1,0.489447455,0.146298813,0.128430134,0.235823598
2017/4/1,0.489192114,0.146841895,0.128823462,0.235142529
