t,gold
1980-03-01,555.1524
1980-04-01,517.4100
1980-05-01,513.8200
1980-06-01,600.7167
1980-07-01,644.2826
1980-08-01,628.1975
1980-09-01,673.6250
1980-10-01,661.1478
1980-11-01,623.4625
1980-12-01,595.0952
1981-01-01,558.9167
1981-02-01,499.7625
1981-03-01,498.7614
1981-04-01,495.8000
1981-05-01,479.6974
1981-06-01,460.7614
1981-07-01,409.2841
1981-08-01,410.1575
1981-09-01,443.7500
1981-10-01,437.7545
1981-11-01,413.3690
1981-12-01,409.3214
1982-01-01,384.1250
1982-02-01,374.3925
1982-03-01,330.2478
1982-04-01,350.3375
1982-05-01,333.8184
1982-06-01,314.9773
1982-07-01,338.9727
1982-08-01,364.2143
1982-09-01,437.3114
1982-10-01,422.1714
1982-11-01,414.9136
1982-12-01,444.6690
1983-01-01,481.2875
1983-02-01,491.0625
1983-03-01,419.6957
1983-04-01,432.8789
1983-05-01,438.0175
1983-06-01,412.8409
1983-07-01,422.7357
1983-08-01,416.2636
1983-09-01,411.8023
1983-10-01,393.1024
1983-11-01,381.6591
1983-12-01,387.5600
1984-01-01,370.8881
1984-02-01,385.9214
1984-03-01,394.2636
1984-04-01,381.3816
1984-05-01,377.4786
1984-06-01,377.6652
1984-07-01,347.4682
1984-08-01,347.6795
1984-09-01,341.0925
1984-10-01,340.1739
1984-11-01,341.1773
1984-12-01,319.0526
1985-01-01,302.7909
1985-02-01,299.1000
1985-03-01,303.9429
1985-04-01,325.2725
1985-05-01,316.3667
1985-06-01,316.4900
1985-07-01,317.2200
1985-08-01,329.7857
1985-09-01,323.3500
1985-10-01,325.8870
1985-11-01,325.2905
1985-12-01,322.0400
1986-01-01,345.3773
1986-02-01,338.4825
1986-03-01,345.7000
1986-04-01,340.4159
1986-05-01,342.4600
1986-06-01,342.7119
1986-07-01,348.3022
1986-08-01,376.5950
1986-09-01,417.6841
1986-10-01,423.5087
1986-11-01,397.5500
1986-12-01,390.9238
1987-01-01,408.2595
1987-02-01,401.1150
1987-03-01,408.9582
1987-04-01,438.3525
1987-05-01,460.2221
1987-06-01,449.5909
1987-07-01,450.5174
1987-08-01,461.1475
1987-09-01,460.3477
1987-10-01,465.3545
1987-11-01,467.5690
1987-12-01,486.1333
1988-01-01,476.5800
1988-02-01,441.5976
1988-03-01,443.6065
1988-04-01,451.5474
1988-05-01,451.0675
1988-06-01,451.3318
1988-07-01,437.6762
1988-08-01,431.3136
1988-09-01,413.4455
1988-10-01,406.8000
1988-11-01,420.1682
1988-12-01,418.3375
1989-01-01,404.0262
1989-02-01,387.8350
1989-03-01,390.1500
1989-04-01,384.3875
1989-05-01,371.0786
1989-06-01,367.3955
1989-07-01,375.0167
1989-08-01,365.0182
1989-09-01,361.8452
1989-10-01,366.9523
1989-11-01,394.2159
1989-12-01,409.1553
1990-01-01,410.1318
1990-02-01,416.8150
1990-03-01,393.3432
1990-04-01,374.2974
1990-05-01,369.0952
1990-06-01,352.3452
1990-07-01,362.5068
1990-08-01,394.7273
1990-09-01,389.3375
1990-10-01,380.7457
1990-11-01,381.7159
1990-12-01,377.7947
1991-01-01,383.3886
1991-02-01,363.5775
1991-03-01,363.3850
1991-04-01,358.4381
1991-05-01,357.0357
1991-06-01,366.8150
1991-07-01,367.8087
1991-08-01,356.3048
1991-09-01,348.6500
1991-10-01,358.6500
1991-11-01,360.1071
1991-12-01,361.0500
1992-01-01,354.1364
1992-02-01,353.5000
1992-03-01,344.0455
1992-04-01,338.3000
1992-05-01,336.8158
1992-06-01,340.7273
1992-07-01,352.7826
1992-08-01,343.0500
1992-09-01,345.4091
1992-10-01,344.5455
1992-11-01,334.9048
1992-12-01,334.7619
1993-01-01,329.1000
1993-02-01,329.4500
1993-03-01,330.2174
1993-04-01,342.1500
1993-05-01,367.2105
1993-06-01,371.8182
1993-07-01,392.1364
1993-08-01,378.8095
1993-09-01,355.3636
1993-10-01,364.2857
1993-11-01,373.9545
1993-12-01,383.9524
1994-01-01,386.9500
1994-02-01,382.3500
1994-03-01,384.1304
1994-04-01,377.2105
1994-05-01,381.4000
1994-06-01,385.6364
1994-07-01,385.5714
1994-08-01,380.4091
1994-09-01,391.7273
1994-10-01,389.7619
1994-11-01,384.4545
1994-12-01,379.6000
1995-01-01,378.5714
1995-02-01,376.8000
1995-03-01,382.0000
1995-04-01,391.0000
1995-05-01,385.3333
1995-06-01,387.5909
1995-07-01,386.2857
1995-08-01,383.7273
1995-09-01,383.0262
1995-10-01,383.1364
1995-11-01,385.3205
1995-12-01,387.3974
1996-01-01,399.4523
1996-02-01,404.7619
1996-03-01,396.2167
1996-04-01,392.8475
1996-05-01,391.9476
1996-06-01,385.2725
1996-07-01,383.4761
1996-08-01,387.3524
1996-09-01,383.1571
1996-10-01,381.0652
1996-11-01,377.8786
1996-12-01,369.0425
1997-01-01,355.2386
1997-02-01,346.5825
1997-03-01,351.8421
1997-04-01,344.4568
1997-05-01,343.8400
1997-06-01,340.7690
1997-07-01,324.1052
1997-08-01,324.0100
1997-09-01,322.9818
1997-10-01,324.9109
1997-11-01,306.1600
1997-12-01,289.0762
1998-01-01,289.0995
1998-02-01,297.5450
1998-03-01,295.9523
1998-04-01,308.1775
1998-05-01,299.1000
1998-06-01,292.3182
1998-07-01,292.8717
1998-08-01,284.1100
1998-09-01,288.9818
1998-10-01,295.9682
1998-11-01,294.0714
1998-12-01,291.2238
1999-01-01,287.0800
1999-02-01,287.3275
1999-03-01,286.0065
1999-04-01,282.6175
1999-05-01,276.4421
1999-06-01,261.1773
1999-07-01,256.0795
1999-08-01,256.6929
1999-09-01,264.7432
1999-10-01,310.7190
1999-11-01,293.1841
1999-12-01,283.3050
2000-01-01,284.3150
2000-02-01,299.8643
2000-03-01,286.3891
2000-04-01,279.6944
2000-05-01,275.1857
2000-06-01,285.7455
2000-07-01,281.5857
2000-08-01,274.4841
2000-09-01,273.6786
2000-10-01,269.9977
2000-11-01,266.0068
2000-12-01,271.6447
2001-01-01,265.2023
2001-02-01,261.1100
2001-03-01,262.6159
2001-04-01,261.6579
2001-05-01,272.0667
2001-06-01,270.3452
2001-07-01,267.1136
2001-08-01,273.6000
2001-09-01,283.4200
2001-10-01,283.0609
2001-11-01,276.1636
2001-12-01,275.9789
2002-01-01,281.5114
2002-02-01,295.4950
2002-03-01,294.0550
2002-04-01,302.6833
2002-05-01,314.4932
2002-06-01,321.1778
2002-07-01,313.2913
2002-08-01,310.2548
2002-09-01,319.1357
2002-10-01,316.5565
2002-11-01,319.0667
2002-12-01,333.1150
2003-01-01,356.8591
2003-02-01,358.9700
2003-03-01,340.5500
2003-04-01,328.1800
2003-05-01,355.6825
2003-06-01,356.3524
2003-07-01,351.0196
2003-08-01,359.7675
2003-09-01,378.9455
2003-10-01,378.9196
2003-11-01,389.9100
2003-12-01,407.6833
2004-01-01,413.7881
2004-02-01,404.8775
2004-03-01,406.6674
2004-04-01,402.8100
2004-05-01,383.7789
2004-06-01,392.3727
2004-07-01,398.0909
2004-08-01,400.5095
2004-09-01,405.2750
2004-10-01,420.4643
2004-11-01,439.3750
2004-12-01,441.8905
2005-01-01,424.0300
2005-02-01,423.3500
2005-03-01,434.3214
2005-04-01,429.2333
2005-05-01,421.8725
2005-06-01,430.6568
2005-07-01,424.4786
2005-08-01,437.9295
2005-09-01,456.0477
2005-10-01,469.8976
2005-11-01,476.6659
2005-12-01,510.3875
2006-01-01,549.8643
2006-02-01,554.9950
2006-03-01,557.0935
2006-04-01,610.6528
2006-05-01,675.3929
2006-06-01,596.1727
2006-07-01,633.7143
2006-08-01,632.5932
2006-09-01,596.4714
2006-10-01,585.7795
2006-11-01,627.8273
2006-12-01,629.5737
2007-01-01,631.1659
2007-02-01,664.7550
2007-03-01,654.8955
2007-04-01,679.3579
2007-05-01,666.8595
2007-06-01,655.4905
2007-07-01,665.2955
2007-08-01,665.4000
2007-09-01,712.6525
2007-10-01,754.6043
2007-11-01,805.8386
2007-12-01,805.1947
2008-01-01,889.5955
2008-02-01,922.2976
2008-03-01,968.4342
2008-04-01,909.7045
2008-05-01,888.6625
2008-06-01,889.4881
2008-07-01,939.7717
2008-08-01,838.8875
2008-09-01,829.8636
2008-10-01,806.6196
2008-11-01,760.8625
2008-12-01,819.9524
2009-01-01,858.6905
2009-02-01,943.1625
2009-03-01,924.2727
2009-04-01,890.2000
2009-05-01,928.6447
2009-06-01,945.6705
2009-07-01,934.2391
2009-08-01,949.3875
2009-09-01,996.3182
2009-10-01,1043.1614
2009-11-01,1127.0357
2009-12-01,1130.1190
2010-01-01,1117.9625
2010-02-01,1095.4125
2010-03-01,1113.3370
2010-04-01,1148.6875
2010-05-01,1205.4342
2010-06-01,1232.9205
2010-07-01,1192.9659
2010-08-01,1215.8095
2010-09-01,1269.8295
2010-10-01,1342.0238
2010-11-01,1369.8864
2010-12-01,1390.7857
2011-01-01,1356.4000
2011-02-01,1372.3000
2011-03-01,1424.0109
2011-04-01,1473.8056
2011-05-01,1510.4375
2011-06-01,1528.6591
2011-07-01,1572.8095
2011-08-01,1755.8068
2011-09-01,1771.8523
2011-10-01,1665.2143
2011-11-01,1738.9773
2011-12-01,1643.9500
2012-01-01,1656.1190
2012-02-01,1742.5952
2012-03-01,1673.7727
2012-04-01,1650.0658
2012-05-01,1585.5045
2012-06-01,1596.6974
2012-07-01,1593.9091
2012-08-01,1626.0227
2012-09-01,1744.4500
2012-10-01,1747.0109
2012-11-01,1721.1364
2012-12-01,1685.8684
2013-01-01,1670.9545
2013-02-01,1627.5875
2013-03-01,1592.8625
2013-04-01,1485.0833
2013-05-01,1413.5000
2013-06-01,1342.3625
2013-07-01,1286.7239
2013-08-01,1347.0952
2013-09-01,1348.7976
2013-10-01,1316.1848
2013-11-01,1275.8214
2013-12-01,1223.0375
2014-01-01,1244.7955
2014-02-01,1300.9750
2014-03-01,1336.0833
2014-04-01,1299.0000
2014-05-01,1287.5250
2014-06-01,1279.0952
2014-07-01,1310.9674
2014-08-01,1295.9875
2014-09-01,1238.8182
2014-10-01,1222.4891
2014-11-01,1176.3000
2014-12-01,1201.2024
2015-01-01,1251.8452
2015-02-01,1227.1875
2015-03-01,1178.6295
2015-04-01,1197.9100
2015-05-01,1199.0526
2015-06-01,1181.7318
2015-07-01,1130.0370
2015-08-01,1117.4750
2015-09-01,1124.5773
2015-10-01,1159.2455
2015-11-01,1085.7024
2015-12-01,1067.8595
2016-01-01,1097.3750
2016-02-01,1199.9119
2016-03-01,1246.3381
2016-04-01,1242.2619
2016-05-01,1259.3975
2016-06-01,1276.4045
2016-07-01,1337.3262
2016-08-01,1341.0886
2016-09-01,1326.0295
2016-10-01,1266.5900
2016-11-01,1235.9800
2016-12-01,1151.4000
2017-01-01,1192.6200
2017-02-01,1234.3600
2017-03-01,1231.0900
2017-04-01,1265.6300
2017-05-01,1245.0000
2017-06-01,1260.2600
2017-07-01,1236.2200
2017-08-01,1282.3200
2017-09-01,1314.9800
2017-10-01,1279.5100
2017-11-01,1282.2800
2017-12-01,1261.0500
